title,price,article_link,img_url,description,scraped_date,date_expires
Heinz Mayonnaise,"1,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8280030,https://img.rewe-static.de/KLEIN16_2023/8280030/29291195-22_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Heinz Tomato Ketchup,"1,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#7817568,https://img.rewe-static.de/KLEIN16_2023/7817568/23317171-10_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Chovi Allioli oder Allioli Vegan,"1,79",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#7195463,https://img.rewe-static.de/KLEIN16_2023/7195463/27958666-12_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Riesling Steillage QW,"2,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#681771,https://img.rewe-static.de/KLEIN16_2023/0681771/3528510-44_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Dermaris Mini Brötchen,"1,59",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8024471,https://img.rewe-static.de/KLEIN16_2023/8024471/31408896-11_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Snacktomaten Mix,"1,79",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#7704284,https://img.rewe-static.de/KLEIN16_2023/7704284/35586582-3_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Bio Himbeeren,"1,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#7029708,https://img.rewe-static.de/KLEIN16_2023/7029708/34466238-4_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Zitronen,"0,79",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8052076,https://img.rewe-static.de/KLEIN16_2023/8052076/36798711-4_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Erdbeeren,"1,59",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8368131,https://img.rewe-static.de/KLEIN16_2023/8368131/28138435-14_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Rote Bio Spitzpaprika,"1,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#3933679,https://img.rewe-static.de/KLEIN16_2023/3933679/34524105-3_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Rucola,"0,89",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8505768,https://img.rewe-static.de/KLEIN16_2023/8505768/34638109-3_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Heidelbeeren,"1,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#3064733,https://img.rewe-static.de/KLEIN16_2023/3064733/33942208-1_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Bio Salatgurke,"0,89",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#2493357,https://img.rewe-static.de/KLEIN16_2023/2493357/29358170-6_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Rote Tafeläpfel,"1,79",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8854096,https://img.rewe-static.de/KLEIN16_2023/8854096/30888510-8_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Granatapfel,"1,79",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#103308,https://img.rewe-static.de/KLEIN16_2023/0103308/20716252-7_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Bauer Joghurt mild,"0,49",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#2559102,https://img.rewe-static.de/REWE_TH16_2023/2559102/1499960-13_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Herta Finesse Aufschnitt,"1,29",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#2327516,https://img.rewe-static.de/REWE_TH16_2023/2327516/23455172-49_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Wagner  Big City Pizza Budapest,"1,88",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#2670547,https://img.rewe-static.de/REWE_TH16_2023/2670547/29010095-23_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Wagner Die Backfrische Mozzarella,"1,88",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#878564,https://img.rewe-static.de/REWE_TH16_2023/0878564/26347635-39_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Kölln Hafer-Müsli Schoko,"1,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#5043514,https://img.rewe-static.de/REWE_TH16_2023/5043514/1157060-52_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Iglo 13 Backfischstäbchen,"2,88",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#1369917,https://img.rewe-static.de/REWE_TH16_2023/1369917/24972141-23_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Iglo Goldknusper Filets Gold-Backteig,"2,88",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#529474,https://img.rewe-static.de/REWE_TH16_2023/0529474/5586240-51_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Heinz Tomato Ketchup,"1,88",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#7817568,https://img.rewe-static.de/REWE_TH16_2023/7817568/23317171-10_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Heinz Mayonnaise,"1,88",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8280030,https://img.rewe-static.de/REWE_TH16_2023/8280030/29291195-22_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Reinert Bärchenwurst Mortadella,"1,39",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#1181641,https://img.rewe-static.de/REWE_TH16_2023/1181641/12158710-36_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Wawi Schoko-Reis,"1,29",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#3789292,https://img.rewe-static.de/REWE_TH16_2023/3789292/1626080-29_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Vilsa Plus Bio Sixpack,"4,74",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#7840588,https://img.rewe-static.de/REWE_TH16_2023/7840588/35440254-7_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Leerdammer Original,"0,79",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#4508467,https://img.rewe-static.de/KLEIN16_2023/7156509/27100615-16_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Frischwurst-Aufschnitt,"0,88",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#1327431,https://img.rewe-static.de/KLEIN16_2023/6421350/1877780-34_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
REWE Beste Wahl Bulgursalat,"0,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8710547,https://img.rewe-static.de/KLEIN16_2023/0583448/25289639-9_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Frische magere Rindsmettwurst oder Rindfleischsalami,"1,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#2465755,https://img.rewe-static.de/KLEIN16_2023/4508467/27236719-4_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Hareico Holsteiner Bauernmettwurst oder Dielenmettwurst,"1,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#5833973,https://img.rewe-static.de/KLEIN16_2023/1327431/30927094-11_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Salat Hummus Bowl,"2,79",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8531742,https://img.rewe-static.de/KLEIN16_2023/8710547/35600996-12_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Butcher’s Burger Patties,"3,49",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#7938024,https://img.rewe-static.de/KLEIN16_2023/2465755/30450214-6_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Spanferkel-Cevapcici,"2,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8405213,https://img.rewe-static.de/KLEIN16_2023/5833973/30736157-7_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Frische Hähnchen-Grillplatte,"4,44",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#7953201,https://img.rewe-static.de/KLEIN16_2023/8531742/32545644-8_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Schweine-Rückensteaks,"2,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#2345396,https://img.rewe-static.de/KLEIN16_2023/7938024/33031415-10_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Nature & Respect Frische Freiland- Hähnchen-Schenkel,"9,90",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#2207023,https://img.rewe-static.de/KLEIN16_2023/8405213/31022150-10_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Frische Bio-Hähnchen-Brustfilets,"29,90",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#3250075,https://img.rewe-static.de/KLEIN16_2023/7953201/35727286-7_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Bauer Joghurt mild,"0,55",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#2559102,https://img.rewe-static.de/KLEIN16_2023/2345396/23879240-16_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Starbucks Frappuccino Coffee,"1,49",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#7782342,https://img.rewe-static.de/KLEIN16_2023/2207023/33333240-4_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Nestlé Joghurt mit Smarties,"0,59",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#1355708,https://img.rewe-static.de/KLEIN16_2023/3250075/24891358-9_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Starbucks Caffee Latte,"1,49",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#965239,https://img.rewe-static.de/KLEIN16_2023/2559102/1499960-13_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Fol Epi  Classic,"1,69",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#9342478,https://img.rewe-static.de/KLEIN16_2023/7782342/36084629-16_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Kerrygold extra,"2,77",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#2214515,https://img.rewe-static.de/KLEIN16_2023/1355708/28364696-2_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Meggle  Kräuter-Butter,"1,69",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8292013,https://img.rewe-static.de/KLEIN16_2023/0965239/31130984-22_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Meggle Kräuter-Butter,"1,69",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#4529464,https://img.rewe-static.de/KLEIN16_2023/9342478/2926570-57_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Arla  Skyr,"1,49",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#2458768,https://img.rewe-static.de/KLEIN16_2023/2214515/22924142-15_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Dr. Oetker  Rote Grütze  Klassik,"1,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#7301952,https://img.rewe-static.de/KLEIN16_2023/8292013/29167926-7_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Dr. Oetker High Protein Grießpudding,"1,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8411171,https://img.rewe-static.de/KLEIN16_2023/4529464/31257491-2_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Deli Reform Für meine Familie oder das Original,"1,29",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#2137444,https://img.rewe-static.de/KLEIN16_2023/2458768/35110961-7_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Wagner Die Backfrische Mozzarella,"1,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#878564,https://img.rewe-static.de/KLEIN16_2023/7301952/38763209-2_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Wagner  Big City Pizza Budapest,"1,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#2670547,https://img.rewe-static.de/KLEIN16_2023/8411171/38749585-2_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
REWE Beste Wahl Granatapfelkerne,"1,69",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8377443,https://img.rewe-static.de/KLEIN16_2023/2137444/23473396-15_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Magnum Double Starchaser,"2,29",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8902524,https://img.rewe-static.de/REWE_TZ16_2023/0878564/26347635-39_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Iglo 13 Backfischstäbchen,"2,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#1369917,https://img.rewe-static.de/REWE_TZ16_2023/2670547/29010095-23_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Iglo Goldknusper Filets Gold-Backteig,"2,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#529474,https://img.rewe-static.de/KLEIN16_2023/8377443/30742514-8_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Langnese Flutschfinger,"2,22",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8903139,https://img.rewe-static.de/KLEIN16_2023/8902524/38389209-7_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Langnese Cornetto Classico,"2,29",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8097223,https://img.rewe-static.de/KLEIN16_2023/1369917/24972141-23_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Ben & Jerry’s Ice Cream,"4,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8422570,https://img.rewe-static.de/KLEIN16_2023/0529474/5586240-51_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
REWE Beste Wahl Steakhouse Frites,"1,59",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#7902451,https://img.rewe-static.de/KLEIN16_2023/8903139/38472860-7_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
REWE Bio Roggen-Steinofenbrötchen,"1,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8614187,https://img.rewe-static.de/KLEIN16_2023/8097223/29199944-11_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Butcher’s Burger Buns Dinkel,"1,39",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#7837333,https://img.rewe-static.de/KLEIN16_2023/8422570/30682146-11_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Kölln Hafer-Porridge Feine Basis,"2,29",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8525431,https://img.rewe-static.de/KLEIN16_2023/7902451/33473594-8_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Dermaris Mini Brötchen,"1,59",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8024471,https://img.rewe-static.de/KLEIN16_2023/8614187/34893600-28_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Pema  Vollkornbrot,"1,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8068615,https://img.rewe-static.de/KLEIN16_2023/7837333/34928240-4_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Maggi Herzensküche Würzpaste Spaghetti Bolognese,"0,49",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#7847240,https://img.rewe-static.de/KLEIN16_2023/8525431/32693989-4_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Maggi Fix Curry Geschnetzeltes,"0,49",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#2413654,https://img.rewe-static.de/KLEIN16_2023/8024471/31408896-11_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Birkel Pasta,"1,11",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#9312358,https://img.rewe-static.de/KLEIN16_2023/8068615/680890-35_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Kölln Hafer-Müsli Schoko,"2,29",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#5043514,https://img.rewe-static.de/KLEIN16_2023/7847240/33891004-13_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Knorr Feinschmecker Waldpilzcremesuppe,"0,79",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8151569,https://img.rewe-static.de/KLEIN16_2023/2413654/23685888-25_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Knorr  Feinschmecker  Spargelcremesuppe,"0,79",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8184772,https://img.rewe-static.de/KLEIN16_2023/9312358/8531410-28_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Heinz Mayonnaise,"1,99",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#8280030,https://img.rewe-static.de/KLEIN16_2023/5043514/1157060-52_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
Dr. Oetker  Paradies Creme,"0,79",https://www.rewe.de/angebote/bremen-radio-bremen/431004/rewe-markt-schwachhauser-heerstr-207/#182451,https://img.rewe-static.de/KLEIN16_2023/8151569/28407763-14_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,placeholder,2023-04-22,2023-04-22
